PS D:\photogrpahy web\wetransfer_pics-for-website_2026-09-08_0523\Gallery> python ratio.py
Enter the path to your image folder: Travel
Filename                       | Dimensions   | Exact Ratio  | Decimal
22.jpg                         | 1075x1400    | 43:56        | 0.77:1
23.jpg                         | 933x1400     | 933:1400     | 0.67:1
24.jpg                         | 1400x931     | 200:133      | 1.5:1
25.jpg                         | 1400x933     | 1400:933     | 1.5:1
26.jpg                         | 1400x933     | 1400:933     | 1.5:1
27.jpg                         | 1400x933     | 1400:933     | 1.5:1
28.jpg                         | 1400x933     | 1400:933     | 1.5:1
29.jpg                         | 1400x933     | 1400:933     | 1.5:1
3.jpg                          | 1400x933     | 1400:933     | 1.5:1
30.jpg                         | 1400x933     | 1400:933     | 1.5:1
31.jpg                         | 1400x933     | 1400:933     | 1.5:1
32.jpg                         | 1400x933     | 1400:933     | 1.5:1
33.jpg                         | 1400x933     | 1400:933     | 1.5:1
34.jpg                         | 1000x1400    | 5:7          | 0.71:1
35.jpg                         | 1400x933     | 1400:933     | 1.5:1
36.jpg                         | 1400x1400    | 1:1          | 1.0:1
37.jpg                         | 1400x933     | 1400:933     | 1.5:1
38.jpg                         | 1400x933     | 1400:933     | 1.5:1
39.jpg                         | 1120x1400    | 4:5          | 0.8:1
4.jpg                          | 1400x933     | 1400:933     | 1.5:1
40.jpg                         | 1400x933     | 1400:933     | 1.5:1
41.jpg                         | 1400x933     | 1400:933     | 1.5:1
42.jpg                         | 1400x933     | 1400:933     | 1.5:1
43.jpg                         | 1120x1400    | 4:5          | 0.8:1
44.jpg                         | 1400x931     | 200:133      | 1.5:1
45.jpg                         | 933x1400     | 933:1400     | 0.67:1
46.jpg                         | 1400x769     | 1400:769     | 1.82:1
47.jpg                         | 1400x933     | 1400:933     | 1.5:1
48.jpg                         | 1400x933     | 1400:933     | 1.5:1
49.jpg                         | 1400x933     | 1400:933     | 1.5:1
5.jpg                          | 1400x933     | 1400:933     | 1.5:1
6.jpg                          | 1400x933     | 1400:933     | 1.5:1
7.jpg                          | 1400x933     | 1400:933     | 1.5:1
8.jpg                          | 1400x933     | 1400:933     | 1.5:1
9.jpg                          | 1400x935     | 280:187      | 1.5:1
PS D:\photogrpahy web\wetransfer_pics-for-website_2026-09-08_0523\Gallery> python ratio.py
Enter the path to your image folder: Landscape
Filename                       | Dimensions   | Exact Ratio  | Decimal
---------------------------------------------------------------------------
1.jpg                          | 1400x933     | 1400:933     | 1.5:1
10.jpg                         | 1120x1400    | 4:5          | 0.8:1
11.jpg                         | 1400x933     | 1400:933     | 1.5:1
12.jpg                         | 1400x930     | 140:93       | 1.51:1
13.jpg                         | 1400x680     | 35:17        | 2.06:1
14.jpg                         | 1400x935     | 280:187      | 1.5:1
15.jpg                         | 933x1400     | 933:1400     | 0.67:1
16.jpg                         | 933x1400     | 933:1400     | 0.67:1
17.jpg                         | 1400x933     | 1400:933     | 1.5:1
18.jpg                         | 1400x933     | 1400:933     | 1.5:1
19.jpg                         | 1400x933     | 1400:933     | 1.5:1
2.jpg                          | 1400x933     | 1400:933     | 1.5:1
20.jpg                         | 1400x933     | 1400:933     | 1.5:1
21.jpg                         | 1400x817     | 1400:817     | 1.71:1
22.jpg                         | 1400x933     | 1400:933     | 1.5:1
23.jpg                         | 1400x935     | 280:187      | 1.5:1
24.jpg                         | 1400x933     | 1400:933     | 1.5:1
25.jpg                         | 1400x933     | 1400:933     | 1.5:1
26.jpg                         | 1400x933     | 1400:933     | 1.5:1
27.jpg                         | 1400x933     | 1400:933     | 1.5:1
28.jpg                         | 1400x933     | 1400:933     | 1.5:1
29.jpg                         | 1400x933     | 1400:933     | 1.5:1
3.jpg                          | 1400x933     | 1400:933     | 1.5:1
30.jpg                         | 1000x1400    | 5:7          | 0.71:1
31.jpg                         | 1400x673     | 1400:673     | 2.08:1
32.jpg                         | 1400x933     | 1400:933     | 1.5:1
33.jpg                         | 1400x933     | 1400:933     | 1.5:1
34.jpg                         | 1400x931     | 200:133      | 1.5:1
35.jpg                         | 1400x931     | 200:133      | 1.5:1
4.jpg                          | 1400x933     | 1400:933     | 1.5:1
